US Bonds,US Equities,Int'l Equities,Commodities,US Tbill,Inflation
0.0075,0.0227,-0.0176,-0.0182,0.0049,0
-0.0022,0.0321,0.0588,0.0255,0.0047,0.0026
0.0116,0.0025,-0.0394,0.0208,0.0047,0.0013
0.0095,0.0405,0.0194,0.0042,0.0046,0.0038
0.0138,-0.0036,-0.0274,0.01,0.0045,0
0.0144,0.042,0.0273,0.0263,0.0045,-0.0013
0.0138,0.0189,0.039,0.0928,0.0046,0.0063
0.0067,0.0329,0.0043,-0.0016,0.0042,0.0025
-0.0179,0.0092,0.0036,0.0385,0.0043,0.005
-0.0068,0.0095,0.021,0.061,0.0041,0.0037
-0.0057,0.0145,0.0285,0.0546,0.0043,0.0025
-0.0019,0.0251,-0.0185,-0.008,0.0042,0
0.0122,0.0038,0.0058,0.0373,0.0043,0.0025
0.0032,-0.0462,-0.0298,-0.0497,0.0044,0.0012
-0.0017,0.0207,0.0024,0.0312,0.0044,0.0037
0.0169,0.0533,0.0261,0.0343,0.0044,0.0037
0.0216,0.0268,-0.0101,-0.0025,0.0043,0.0012
0.017,0.0703,0.0385,0.0768,0.0043,0
-0.009,-0.0202,-0.0128,0.0096,0.0043,0.0037
0.0028,0.0588,-0.036,-0.0149,0.0043,0.0024
0.0018,0.0078,0.0163,-0.074,0.0043,0.0024
-0.0102,-0.0428,0.0039,0.0166,0.0043,0.0012
0.015,0.0563,0.0055,0.0226,0.0045,0
0.0087,0.0574,0.0613,0.0071,0.0044,0.0012
0.0119,0.0429,0.0525,-0.0572,0.0042,0.0012
0.0264,0.0737,0.0161,0.0394,0.0043,0.0012
-0.0089,-0.0593,-0.0805,0.0247,0.0043,0.0024
0.0149,0.0519,0.0532,0.0247,0.0044,0.0024
0.0147,-0.0345,-0.083,0.0268,0.0041,0
0.004,0.0442,-0.0101,-0.1094,0.0043,-0.0012
0.0102,0.0169,0.0089,-0.0725,0.0044,0.0012
0.013,0.0109,0.0439,-0.0164,0.0045,0.0024
-7e-04,0.0673,0.0605,-0.0706,0.0043,0.0024
0.0038,0.0487,0.0301,-0.0052,0.0044,0.0012
0.0048,0.01,0.0081,-0.028,0.0043,0.0024
0.0098,-0.0175,-0.0046,-0.0495,0.0042,0.0012
0.0086,0.039,0.0077,-0.0368,0.0042,0.0012
0.0021,-0.0108,0.0103,-0.0853,0.0042,0.0012
0.0159,-0.169,-0.1411,-0.0627,0.0042,0.0012
0.0229,0.0602,-0.0313,0.0927,0.0042,0.0024
-0.0043,0.0752,0.0946,-0.0492,0.0039,0
0.0047,0.0571,0.049,-0.1385,0.0035,-0.0012
0.0037,0.0545,0.0382,-0.0175,0.0038,0.0024
0.007,0.0401,-0.0027,0.0043,0.0038,0.0012
-0.0195,-0.0321,-0.0242,-0.0482,0.0037,0.0036
0.0064,0.0385,0.0403,0.1444,0.0039,0.0071
0.0036,0.0373,0.0392,0.0397,0.0038,0
-0.0097,-0.0242,-0.0541,-0.0577,0.0038,0
-0.0039,0.0526,0.0377,0.0604,0.0039,0.0035
-0.0034,-0.0322,0.0291,0.0346,0.0039,0.0023
-2e-04,-0.005,0.0039,0.0658,0.0039,0.0047
0.0112,-0.0282,0.0102,0.0504,0.0041,0.0012
0.003,0.0595,0.0363,-0.0544,0.004,0.0012
0,0.0199,0.0338,0.0389,0.0042,0
-0.0046,0.0556,0.0825,0.0405,0.0044,0.0023
-0.0026,-0.0529,-0.0677,0.0674,0.0044,0.0058
0.012,-0.0193,0.0264,0.0588,0.0046,0.0091
0.0135,0.0891,0.0375,-0.0117,0.0048,0
-0.0038,-0.031,-0.0553,-0.0092,0.0049,0.0011
-2e-04,-0.0209,-0.0248,0.1007,0.0048,0.0057
0.0199,0.0241,0.0379,0.0665,0.0049,0.0023
0.0089,-0.0159,-0.0435,-0.0832,0.0049,0
0.0141,0.0585,0.0088,0.1335,0.0052,0.0045
0.0061,-0.0557,-0.051,-0.0139,0.0052,0.0022
0.0068,-0.0042,-0.024,0.0022,0.0052,0
0.0168,-0.0856,-0.0387,0.0844,0.0053,0
0.0185,0.0049,0.0345,-0.0211,0.0053,0.0067
0.0145,0.0343,-5e-04,-0.056,0.0049,0.0033
0.0091,-0.1003,-0.081,-0.0142,0.0044,0.0022
0.0055,-0.0676,-0.0709,-0.0408,0.0042,0.0044
-0.0053,0.0721,0.0655,0.051,0.0036,0.0044
0.0059,0.0067,-0.0357,-0.0293,0.0032,0.0011
0.0035,-0.0249,-0.0422,-0.078,0.0031,-0.0022
0.0225,-0.0099,-0.0184,0.0024,0.003,0
0.0103,-0.0668,-0.0258,0.0095,0.003,0.0044
0.0136,-0.0878,-0.1124,-0.123,0.0028,-0.0033
0.02,0.0187,0.0249,-0.0531,0.002,-0.0022
-0.0142,0.0712,0.0356,-0.0568,0.0018,-0.0033
-0.0065,0.0087,0.0059,-0.0134,0.0016,0.0022
0.0073,-0.0148,-0.056,-0.0322,0.0014,0.0033
0.0096,-0.0197,0.007,0.0419,0.0014,0.0066
-0.0177,0.0362,0.0518,0.1188,0.0015,0.0054
0.0193,-0.0645,0.0072,0.0109,0.0015,0
0.0083,-0.0074,0.0134,-0.0455,0.0014,0
0.0084,-0.0767,-0.0411,0.033,0.0015,0.0011
0.0135,-0.0845,-0.1094,0.0058,0.0014,0.0032
0.017,0.0065,-0.002,0.057,0.0014,0.0022
0.0165,-0.1219,-0.12,0.0437,0.0014,0.0011
-0.0046,0.0809,0.0511,-0.0495,0.0014,0
-3e-04,0.0556,0.0435,-0.0022,0.0014,-0.0022
0.0204,-0.0624,-0.0347,0.0786,0.001,0.0043
7e-04,-0.0269,-0.0435,0.0825,0.001,0.0085
0.0138,-0.0152,-0.0234,0.1081,0.001,0.0053
-9e-04,0.0096,-0.0193,-0.1684,0.001,-0.0021
0.0082,0.0761,0.0902,-0.0654,0.001,-0.0011
0.0184,0.05,0.058,0.0875,0.001,0.0011
-0.0018,0.0126,0.0242,0.0022,9e-04,0.0011
-0.0347,0.0173,0.0238,0.0071,7e-04,0.0032
0.0067,0.0191,0.0237,0.0393,8e-04,0.0032
0.0259,-0.0107,0.0301,-0.0426,8e-04,-0.0011
-0.0099,0.0535,0.0587,0.0214,8e-04,-0.0021
0.0026,0.0087,0.0219,0.025,8e-04,-0.0011
0.0099,0.0498,0.0725,0.0588,8e-04,0.0042
0.008,0.018,0.014,0.0039,7e-04,0.0052
0.0104,0.0137,0.0227,0.0691,8e-04,0.0073
0.0077,-0.0153,0.006,0.0197,8e-04,0.0031
-0.0267,-0.0159,-0.0223,0.0268,8e-04,0.0052
-0.0044,0.0135,0.0043,0.0442,8e-04,0.0031
0.0058,0.0191,0.0218,-0.0493,9e-04,-0.001
0.0101,-0.0342,-0.0334,0.0719,0.0011,0
0.0187,0.004,0.0046,-0.0404,0.0012,0.0021
0.0026,0.0107,0.0256,0.112,0.0013,0.0061
0.0084,0.015,0.033,0.0398,0.0014,0
-0.0086,0.0389,0.0642,-0.0508,0.0016,-0.0041
0.0096,0.0329,0.0421,-0.111,0.0018,0.002
0.0065,-0.025,-0.0186,0.0633,0.0019,0.0061
-0.0059,0.0206,0.0416,0.0586,0.002,0.0081
-0.005,-0.018,-0.0254,0.0703,0.0023,0.006
0.014,-0.0193,-0.0229,-0.0995,0.0024,-0.001
0.0108,0.0308,0.0015,-0.0074,0.0024,0.001
0.0057,0.0014,0.0135,0.0548,0.0025,0.005
-0.0094,0.0359,0.0298,0.0521,0.0025,0.005
0.0132,-0.0092,0.0249,0.1315,0.0029,0.0118
-0.0108,0.008,0.0428,2e-04,0.0029,0.002
-0.008,-0.017,-0.03,-0.1151,0.0029,-0.0079
0.0043,0.0364,0.0241,-0.04,0.0033,-0.004
0.0094,3e-04,0.0445,0.0279,0.0033,0.0069
0,0.0258,0.0579,0.0415,0.0033,0.002
0.0035,0.0027,-0.0021,-0.1124,0.0037,0.0059
-0.01,0.0123,0.0324,0.0488,0.0038,0.0087
-0.0023,0.0132,0.0463,0.0596,0.0039,0.0048
-9e-04,-0.0296,-0.0391,-0.0078,0.004,0.0019
0.0019,0.0014,4e-04,0.0115,0.004,0.0029
0.0137,0.0061,0.0099,0.0197,0.0042,0.0019
0.0154,0.0232,0.027,-0.0783,0.0043,-0.0048
0.0086,0.0251,0.0017,-0.1199,0.0043,-0.0058
0.0068,0.0316,0.0375,-0.0264,0.0041,-0.001
0.0114,0.0187,0.0293,0.0524,0.0043,0.001
-0.0061,0.0138,0.0305,-0.0766,0.0042,0.0029
-5e-04,0.0149,0.0068,-0.0234,0.0042,0.0058
0.0154,-0.02,0.0081,0.0412,0.0043,0.0095
-1e-04,0.0111,0.0253,0.0313,0.0043,0.0057
0.0055,0.0424,0.0434,-0.0028,0.0042,0.0066
-0.0079,0.0337,0.0185,-0.0158,0.0041,0.0019
-0.003,-0.0169,0.0015,0.0312,0.0041,0
0.0091,-0.032,-0.0148,0.0525,0.004,-0.0019
0.0128,0.0148,-0.0156,-0.0437,0.0041,0.0028
0.007,0.0361,0.051,0.0928,0.0035,0.0019
0.0092,0.0157,0.0379,0.0876,0.0031,0.0056
0.0197,-0.0436,-0.0337,-0.0384,0.0033,-9e-04
0.0015,-0.007,-0.023,0.0545,0.0026,0.0056
0.0186,-0.0638,-0.1017,-3e-04,0.0027,0.0028
0.0038,-0.0336,0.0144,0.1012,0.0019,0.0082
0.0021,-0.0043,-0.0101,-0.0119,0.0017,0.0064
-0.0043,0.0464,0.0526,0.0738,0.0011,0.0081
-0.0085,0.0128,0.0115,0.0834,0.0011,0.0098
0.0013,-0.0921,-0.0888,0.0844,0.0016,0.0053
-0.0011,-0.0085,-0.0331,-0.1393,0.0015,-0.0036
0.0103,0.0143,-0.0419,-0.0765,0.0013,-0.0018
-0.0123,-0.0978,-0.1686,-0.1421,0.0014,-0.0099
-0.0241,-0.2019,-0.2527,-0.3927,7e-04,-0.0193
0.0411,-0.0773,-0.0566,-0.1743,5e-04,-0.0112
0.0313,0.0105,0.0568,-0.1537,1e-04,0.0046
-0.0095,-0.092,-0.1086,-0.0982,0,0.0055
-0.0025,-0.1192,-0.1139,-0.065,2e-04,0.0018
0.0128,0.0805,0.06,0.0431,2e-04,0.0027
0.0017,0.0873,0.1147,-0.0093,2e-04,0.0027
0.0069,0.053,0.1072,0.1643,1e-04,0.0082
0.0062,0.002,-0.0054,0.0057,1e-04,-9e-04
0.0132,0.0703,0.0838,0.0044,2e-04,0.0018
0.0108,0.0348,0.0517,-0.0242,2e-04,9e-04
0.0108,0.036,0.0371,0.0017,1e-04,9e-04
0.0042,-0.0189,-0.0126,0.0555,1e-04,9e-04
0.0134,0.0566,0.0199,0.015,1e-04,9e-04
-0.0175,0.0189,0.0143,0.0086,0,0.0035
